"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-KIR-TBPD.A","Kiribati","0","0","0","0","0","0","0","0","0","0","30.159","0","0","0","0"
"none","Kosovo","","","","","","","","","","","","","","",""
"INTL.53-1-KWT-TBPD.A","Kuwait","2671.9800821917806","2671.5124657534247","2603.4256493150683","2727.8949098360654","2505.942997260274","2449.0816547945205","2680.6933424657536","2785.551355191257","2801.769","2793.919794520548","2879.390232876712","2990.5441366120217","2823.595712328767","2908.4998219178083","2936.3354383561646"
"INTL.53-1-KGZ-TBPD.A","Kyrgyzstan","1.958","1.979","0.946","0.943","1","0.96","0.955","0.961","0.953","1.007","0.972","0.972","0.972","0.972","0.972"
"INTL.53-1-LAO-TBPD.A","Laos","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-LVA-TBPD.A","Latvia","0.3","0.3","0.5","0.9","1.2","1.186","1.229","1.9","1.429","1.581","1.439","1.059","1.369","1.369","1.369"
"INTL.53-1-LBN-TBPD.A","Lebanon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-LSO-TBPD.A","Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-LBR-TBPD.A","Liberia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-LBY-TBPD.A","Libya","1739.2928082191781","1864.5768356164383","1929.7029452054794","1941.4413333333334","1836.2185890410958","1844.198","521.7681643835616","1547.4734262295083","1046.5538493150684","575.9328082191781","492.68360273972604","478.39679234972675","911.779493150685","1045.669904109589","1192.3822328767124"
"INTL.53-1-LTU-TBPD.A","Lithuania","9.833","8.375","7.619","10.042","9.454","9.784","9.193","9.511","9.725","9.319","9.907","10.336","9.31","9.31","9.31"
"INTL.53-1-LUX-TBPD.A","Luxembourg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MAC-TBPD.A","Macau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MDG-TBPD.A","Madagascar","0.085","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MWI-TBPD.A","Malawi","0.2","0.2","0.2","0.2","0.2","0.327","0.345","0.345","0.345","0.345","0.431","0.517","0.2","0.2","0.2"
"INTL.53-1-MYS-TBPD.A","Malaysia","790.8508356164383","749.6182191780822","753.4441917808219","760.047480874317","719.9161095890411","733.4902739726027","669.1760410958904","675.2731092896175","646.9015205479452","675.6103424657534","725.4120821917808","762.1684262295082","747.1490684931507","755.0394794520548","712.1956438356165"
"INTL.53-1-MDV-TBPD.A","Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-MLI-TBPD.A","Mali","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
